CustomerID,Recency,Frequency,Monetary,Cluster,Segment,TotalRevenue,TotalQuantity,UniqueProducts,Churn,ChurnRisk
12346.0,326,1,77183.6,3,Loyal,77183.6,74215,1,1,0.81
12347.0,2,7,4310.0,0,Regular,4310.0,2458,103,0,0.005
12348.0,75,4,1797.24,0,Regular,1797.24,2341,22,0,0.08
12349.0,19,1,1757.55,0,Regular,1757.55,631,73,0,0.22
12350.0,310,1,334.4,1,At Risk,334.4,197,17,1,0.805
12352.0,36,8,2506.04,0,Regular,2506.04,536,59,0,0.025
12353.0,204,1,89.0,1,At Risk,89.0,20,4,1,0.97
12354.0,232,1,1079.4,1,At Risk,1079.4,530,58,1,0.77
12355.0,214,1,459.4,1,At Risk,459.4,240,13,1,0.35
12356.0,23,3,2811.43,0,Regular,2811.43,1591,53,0,0.17
12357.0,33,1,6207.67,0,Regular,6207.67,2708,131,0,0.27
12358.0,2,2,1168.06,0,Regular,1168.06,248,13,0,0.055
12359.0,58,4,6372.58,0,Regular,6372.58,1622,214,0,0.145
12360.0,52,3,2662.06,0,Regular,2662.06,1165,105,0,0.09
12361.0,287,1,189.9,1,At Risk,189.9,91,10,1,0.85
12362.0,3,10,5226.23,0,Regular,5226.23,2229,201,0,0.0
12363.0,110,2,552.0,0,Regular,552.0,408,23,1,0.68
12364.0,8,4,1313.1,0,Regular,1313.1,1506,70,0,0.145
12365.0,291,2,641.38,1,At Risk,641.38,174,22,1,0.895
12367.0,4,1,168.9,0,Regular,168.9,173,11,0,0.085
12370.0,51,4,3545.69,0,Regular,3545.69,2353,143,0,0.035
12371.0,45,2,1887.96,0,Regular,1887.96,591,63,0,0.11
12372.0,72,3,1298.04,0,Regular,1298.04,794,34,0,0.135
12373.0,311,1,364.6,1,At Risk,364.6,197,14,1,0.555
12374.0,25,1,742.9300000000001,0,Regular,742.9300000000001,342,33,0,0.17
12375.0,11,2,457.5,0,Regular,457.5,178,14,0,0.125
12377.0,315,2,1628.12,1,At Risk,1628.12,944,72,1,0.385
12378.0,130,1,4008.62,0,Regular,4008.62,2529,219,1,0.73
12379.0,82,2,852.24,0,Regular,852.24,407,39,0,0.145
12380.0,22,4,2724.81,0,Regular,2724.81,1127,77,0,0.325
12381.0,5,5,1845.31,0,Regular,1845.31,808,70,0,0.095
12383.0,185,5,1850.56,1,At Risk,1850.56,1532,84,1,0.685
12384.0,29,2,585.27,0,Regular,585.27,126,26,0,0.69
12386.0,338,2,401.9,1,At Risk,401.9,354,10,1,0.355
12388.0,16,6,2780.66,0,Regular,2780.66,1462,57,0,0.06
12390.0,80,1,549.84,0,Regular,549.84,353,32,0,0.08
12391.0,22,1,460.89,0,Regular,460.89,300,92,0,0.16
12393.0,72,4,1582.6000000000001,0,Regular,1582.6000000000001,816,47,0,0.06
12394.0,64,2,1272.48,0,Regular,1272.48,819,26,0,0.095
12395.0,19,12,3018.63,0,Regular,3018.63,2118,91,0,0.005
12397.0,36,2,2409.9,0,Regular,2409.9,1263,110,0,0.135
12398.0,46,1,1635.6599999999999,0,Regular,1635.6599999999999,1394,85,0,0.135
12399.0,119,4,1108.65,0,Regular,1108.65,1178,47,1,0.67
12401.0,303,1,84.3,1,At Risk,84.3,11,5,1,0.935
12402.0,323,1,225.6,1,At Risk,225.6,94,11,1,0.56
12403.0,50,1,427.7,0,Regular,427.7,96,5,0,0.405
12405.0,149,1,1710.39,1,At Risk,1710.39,857,54,1,0.815
12406.0,22,2,3415.3,0,Regular,3415.3,1818,92,0,0.105
12407.0,50,5,1708.1200000000001,0,Regular,1708.1200000000001,1416,57,0,0.035
12408.0,33,5,2888.55,0,Regular,2888.55,1409,81,0,0.025
12409.0,79,3,11072.67,0,Regular,11072.67,5551,91,0,0.055
12410.0,309,2,693.3299999999999,1,At Risk,693.3299999999999,211,26,1,0.625
12412.0,75,3,1226.88,0,Regular,1226.88,829,43,0,0.16
12413.0,67,3,758.1,0,Regular,758.1,286,29,0,0.075
12414.0,217,3,562.41,1,At Risk,562.41,300,16,1,0.75
12415.0,24,21,124914.53,2,VIP,124914.53,77374,444,0,0.005
12417.0,3,9,3649.1,0,Regular,3649.1,1552,158,0,0.14
12418.0,113,1,668.58,0,Regular,668.58,407,34,1,0.715
12420.0,64,1,600.39,0,Regular,600.39,345,29,0,0.07
12421.0,16,4,807.04,0,Regular,807.04,484,32,0,0.085
12422.0,96,3,803.5600000000001,0,Regular,803.5600000000001,370,39,1,0.765
12423.0,1,8,1859.31,0,Regular,1859.31,1339,97,0,0.03
12424.0,163,2,1760.96,1,At Risk,1760.96,740,30,1,0.805
12425.0,78,1,777.2,0,Regular,777.2,496,36,0,0.045
12426.0,195,1,582.73,1,At Risk,582.73,258,30,1,0.82
12427.0,22,3,825.8,0,Regular,825.8,533,26,0,0.09
12428.0,26,9,7956.46,0,Regular,7956.46,3536,258,0,0.03
12429.0,9,4,3750.4,0,Regular,3750.4,1557,82,0,0.085
12430.0,43,1,256.4,0,Regular,256.4,117,11,0,0.185
12431.0,36,15,6487.45,3,Loyal,6487.45,2906,163,0,0.0
12432.0,43,5,5059.32,0,Regular,5059.32,1801,107,0,0.015
12433.0,1,7,13375.87,0,Regular,13375.87,11071,219,0,0.025
12434.0,85,2,806.14,0,Regular,806.14,394,46,0,0.1
12435.0,80,2,7829.89,0,Regular,7829.89,2055,31,0,0.28
12436.0,100,1,509.01,0,Regular,509.01,211,16,1,0.825
12437.0,2,18,4951.41,3,Loyal,4951.41,2922,118,0,0.005
12438.0,14,2,2906.85,0,Regular,2906.85,1180,84,0,0.135
12441.0,367,1,173.55,1,At Risk,173.55,121,11,1,0.875
12442.0,3,1,172.06,0,Regular,172.06,182,12,0,0.1
12444.0,21,5,5005.46,0,Regular,5005.46,1153,138,0,0.045
12445.0,22,1,133.4,0,Regular,133.4,62,4,0,0.815
12446.0,58,1,1002.3100000000001,0,Regular,1002.3100000000001,351,57,0,0.23
12447.0,243,1,476.49,1,At Risk,476.49,190,26,1,0.76
12448.0,44,1,449.45,0,Regular,449.45,243,22,0,0.27
12449.0,22,4,4067.29,0,Regular,4067.29,1553,118,0,0.095
12450.0,156,2,197.88,1,At Risk,197.88,128,7,1,0.835
12451.0,11,5,9035.52,0,Regular,9035.52,6575,265,0,0.04
12452.0,17,2,430.57,0,Regular,430.57,185,21,0,0.185
12453.0,134,1,707.09,0,Regular,707.09,473,43,1,0.715
