antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.0490217998882057,0.04410285075461152,0.029625489100055896,0.6043329532497149,13.70280929485095,1.0,0.027463487975863926,2.4159129679775377,0.974809163691694,0.4665492957746479,0.5860778044346764,0.6380346642040716
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.04410285075461152,0.0490217998882057,0.029625489100055896,0.6717363751584283,13.70280929485095,1.0,0.027463487975863926,2.8969953663637282,0.9697928952626625,0.4665492957746479,0.6548147740894776,0.6380346642040716
frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE PINK'}),0.0490217998882057,0.034264952487423145,0.02213527110117384,0.451539338654504,13.177877273293761,1.0,0.020455541457156508,1.7608100554439292,0.9717522904350623,0.3619744058500914,0.4320795721785656,0.5487713006486223
frozenset({'ALARM CLOCK BAKELIKE PINK'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.034264952487423145,0.0490217998882057,0.02213527110117384,0.6460032626427405,13.177877273293761,1.0,0.020455541457156508,2.6864038556153447,0.9569034969712171,0.3619744058500914,0.6277551501016063,0.5487713006486223
frozenset({'SPACEBOY LUNCH BOX '}),frozenset({'DOLLY GIRL LUNCH BOX'}),0.03935159306875349,0.03443264393515931,0.023700391280044718,0.6022727272727273,17.49132969303424,1.0,0.022345411887627047,2.4277122095344565,0.9814504566024562,0.4732142857142857,0.5880895618217605,0.6452922077922078
frozenset({'DOLLY GIRL LUNCH BOX'}),frozenset({'SPACEBOY LUNCH BOX '}),0.03443264393515931,0.03935159306875349,0.023700391280044718,0.6883116883116882,17.491329693034235,1.0,0.022345411887627047,3.0820803055710817,0.9764505932134893,0.4732142857142857,0.6755438207783139,0.6452922077922078
frozenset({'GARDENERS KNEELING PAD KEEP CALM '}),frozenset({'GARDENERS KNEELING PAD CUP OF TEA '}),0.042258244829513694,0.03549468977082169,0.02588038010061487,0.6124338624338624,17.254239053451652,1.0,0.02438043681013185,2.488621210011122,0.9836088098361259,0.4989224137931034,0.5981710691939611,0.6707838603507895
frozenset({'GARDENERS KNEELING PAD CUP OF TEA '}),frozenset({'GARDENERS KNEELING PAD KEEP CALM '}),0.03549468977082169,0.042258244829513694,0.02588038010061487,0.7291338582677166,17.254239053451652,1.0,0.02438043681013185,3.5358489217049938,0.9767112922475909,0.4989224137931034,0.7171824865419313,0.6707838603507895
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.038624930128563446,0.031078814980436,0.025712688652878703,0.6657018813314037,21.41979614571729,1.0,0.024512271595780812,2.8983746270498645,0.991615286025224,0.5844980940279543,0.6549790387111349,0.7465200054139033
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.031078814980436,0.038624930128563446,0.025712688652878703,0.8273381294964028,21.41979614571729,1.0,0.024512271595780812,5.567963946338735,0.9838924255421614,0.5844980940279543,0.8204011359201492,0.7465200054139033
